"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9658195","R-HSA-9658195","Leishmania infection","97/4633","164/11146",0.591463414634146,1.42293356777729,4.60186641638616,3.70227806494548e-06,7.67985372959203e-05,4.75150666634703e-05,"10006/10152/25/60/71/10097/10096/107/108/109/112/113/115/136/10768/351/10552/10095/10109/10092/55845/801/805/808/998/1385/1398/23191/10800/1793/1857/9844/63916/953/5045/2534/2770/2771/2773/2778/2782/2783/59345/10681/55970/54331/2787/2885/3326/3586/3569/3708/3709/3710/3725/4067/5594/1432/5595/5599/4627/4651/4641/4644/4650/4690/10787/51517/4790/114548/4907/5025/5335/10769/5566/5567/5573/5576/5577/5613/5747/5879/79651/10910/7295/10628/7410/10451/8936/10163/10810/8976/7456/147179/644150/7474/7525",97
"R-HSA-9824443","R-HSA-9824443","Parasitic Infection Pathways","97/4633","164/11146",0.591463414634146,1.42293356777729,4.60186641638616,3.70227806494548e-06,7.67985372959203e-05,4.75150666634703e-05,"10006/10152/25/60/71/10097/10096/107/108/109/112/113/115/136/10768/351/10552/10095/10109/10092/55845/801/805/808/998/1385/1398/23191/10800/1793/1857/9844/63916/953/5045/2534/2770/2771/2773/2778/2782/2783/59345/10681/55970/54331/2787/2885/3326/3586/3569/3708/3709/3710/3725/4067/5594/1432/5595/5599/4627/4651/4641/4644/4650/4690/10787/51517/4790/114548/4907/5025/5335/10769/5566/5567/5573/5576/5577/5613/5747/5879/79651/10910/7295/10628/7410/10451/8936/10163/10810/8976/7456/147179/644150/7474/7525",97
"R-HSA-9687139","R-HSA-9687139","Aberrant regulation of mitotic cell cycle due to RB1 defects","28/4633","35/11146",0.8,1.92462767105547,4.62067030863377,3.83592792884187e-06,7.856368846666e-05,4.86071613634725e-05,"64682/10393/51529/119504/595/894/896/898/9134/8697/996/1017/1019/1021/1026/1027/1028/1869/1870/1871/5925/6502/7027/7029/11065/7321/7324/27338",28
"R-HSA-8943724","R-HSA-8943724","Regulation of PTEN gene transcription","43/4633","61/11146",0.704918032786885,1.69588093965953,4.59634540436258,4.39918853979337e-06,8.8973588217321e-05,5.50477408071513e-05,"1386/648/84733/8535/23466/57332/1107/1108/100532731/1958/2146/54815/57459/3066/51564/3725/55004/8649/389541/10542/84232/5594/5595/53615/2122/9112/9219/2475/1912/80012/5468/5928/5931/23186/5978/6009/6045/10670/58528/57167/153129/23512/7157",43
"R-HSA-199992","R-HSA-199992","trans-Golgi Network Vesicle Budding","49/4633","72/11146",0.680555555555556,1.63727006739094,4.57528504429018,4.77803080273744e-06,9.54426399855455e-05,5.90501272696986e-05,"64746/162/164/1174/8905/130340/1176/10717/23431/351/375/408/2647/26258/27243/9685/1211/1213/134829/1362/9829/2512/8729/2799/2804/3312/3482/4074/25977/4952/8301/5286/9698/5878/152503/6456/8773/6643/27131/51429/6272/6810/7037/10618/7163/81567/6845/8673/286451",49
"R-HSA-9035034","R-HSA-9035034","RHOF GTPase cycle","32/4633","42/11146",0.761904761904762,1.83297873433854,4.56141388500061,5.23827058249234e-06,0.000101374240117606,6.27199937231431e-05,"60/9590/392/94134/57584/9743/80728/394/10409/832/857/1729/1730/81624/10160/4001/8776/4650/5295/5296/7879/54509/29843/9497/8773/65124/55240/85360/7112/26092/9341/81839",32
"R-HSA-162587","R-HSA-162587","HIV Life Cycle","89/4633","149/11146",0.597315436241611,1.43701227117397,4.52929180062855,5.26293953638993e-06,0.000101374240117606,6.27199937231431e-05,"8086/8812/904/905/1234/1022/1025/27243/51652/51510/91782/9150/7852/8178/6924/6921/2237/5045/2957/2959/2965/2967/3159/3836/3978/3981/89853/55706/23327/51497/4836/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/10015/5430/5431/5433/5437/5441/9883/11168/8480/5901/5902/5903/5905/1104/100526767/8732/8731/81929/6749/11198/6872/6882/6883/8148/83860/6874/6877/6879/54457/6880/51616/6908/7175/51271/7314/7316/137492/79720/55048/27183/9525/51534/7514/7520/2547",89
"R-HSA-453279","R-HSA-453279","Mitotic G1 phase and G1/S transition","89/4633","149/11146",0.597315436241611,1.43701227117397,4.52929180062855,5.26293953638993e-06,0.000101374240117606,6.27199937231431e-05,"25/207/208/10000/890/891/595/894/896/898/9134/993/990/8317/983/1017/1019/1021/1022/1026/1027/1028/1029/1030/81620/1163/8454/10926/1719/1859/1869/1870/1871/1874/1875/1876/51053/132660/286826/4067/4172/4175/4176/84515/4605/4609/23595/5000/23594/5111/5426/54107/5515/5516/5518/5519/5520/5558/5685/5686/5688/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/9491/5925/5928/5933/5934/6118/6241/6500/6502/7027/7029/7153/7314/7316/7465",89
"R-HSA-199977","R-HSA-199977","ER to Golgi Anterograde Transport","92/4633","155/11146",0.593548387096774,1.427949562396,4.52501975123655,5.32862967289898e-06,0.000101432033067654,6.27557500795905e-05,"10121/287/288/23243/372/375/377/378/84364/26286/51272/829/830/832/1604/966/10175/9382/83548/10466/84342/1314/1315/22820/26958/22818/1453/1075/1639/10540/51164/84516/1778/1780/1783/140735/8729/2804/9527/9570/2890/10945/11014/3998/81562/90411/375056/63908/8774/4905/5537/22870/55291/10113/5861/81876/51128/23256/9919/9117/10484/11196/10802/10427/9632/9871/22872/25956/5265/6711/6712/57731/55014/128637/10342/7039/10972/10959/23423/51014/100302736/54732/11070/58485/7109/6399/122553/83696/7846/10383/8615/10652",92
"R-HSA-9675126","R-HSA-9675126","Diseases of mitotic cell cycle","29/4633","37/11146",0.783783783783784,1.88561494799354,4.55081273046032,5.45808593883511e-06,0.000102688174988781,6.35329220052899e-05,"64682/10393/51529/119504/546/595/894/896/898/9134/8697/996/1017/1019/1021/1026/1027/1028/1869/1870/1871/5925/6502/7027/7029/11065/7321/7324/27338",29
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","45/4633","65/11146",0.692307692307692,1.66554317687493,4.53862272923067,5.73366650433551e-06,0.000106242238705195,6.57318125096871e-05,"207/208/10000/4287/27113/10018/604/694/857/901/1026/1027/10370/1387/2033/356/114907/2290/2308/2309/3066/8850/9314/4800/4801/4802/2908/65018/91584/10891/5934/25942/23411/4087/4088/4089/6648/6720/6794/7295/10628/7529/7532/10971/7534",45
"R-HSA-6811440","R-HSA-6811440","Retrograde transport at the Trans-Golgi-Network","36/4633","49/11146",0.73469387755102,1.76751520811217,4.54111901411779,5.77831706184001e-06,0.000106242238705195,6.57318125096871e-05,"23647/10139/400/9382/83548/10466/84342/9648/2800/2803/3482/4074/122830/60560/84316/63908/8774/4905/339122/9367/51209/9827/57589/60592/8675/10228/90196/10618/7110/9712/9341/8674/6293/55275/51542/143187",36
"R-HSA-6802952","R-HSA-6802952","Signaling by BRAF and RAF1 fusions","46/4633","67/11146",0.686567164179104,1.65173270277149,4.51270850231943,6.44406133705544e-06,0.000117151587003997,7.2481399545118e-05,"60/71/55109/55750/10142/408/10533/10018/673/801/805/808/815/817/818/1185/22866/1445/54845/9715/2266/2335/8087/8826/80853/57670/3845/8844/283455/4000/5604/5594/5595/4140/23164/4893/9444/5894/5906/5908/11044/7094/22906/7414/7529/56829",46
"R-HSA-9730414","R-HSA-9730414","MITF-M-regulated melanocyte development","79/4633","130/11146",0.607692307692308,1.46197678859021,4.46848717193841,7.11020984001022e-06,0.000127825772457073,7.90854919046751e-05,"60/26523/27161/192669/192670/208/10000/8289/57492/533/9114/8992/523/526/528/529/9550/596/605/9275/891/595/999/1017/1026/1029/1385/1387/1499/1615/1729/23405/5977/1906/1910/2932/3094/3376/3662/3815/51520/51176/3978/5594/1432/5595/4233/4286/4343/4644/25924/5077/5347/5454/10891/5873/25942/23411/6597/6598/6599/6601/6602/6603/6662/6760/26039/6926/83439/6934/7020/7942/22797/27327/23112/57690/4308/89780/7514",79
"R-HSA-1483255","R-HSA-1483255","PI Metabolism","55/4633","84/11146",0.654761904761905,1.57521609982219,4.46307820061432,7.84253382293588e-06,0.000139441975005607,8.62724079307348e-05,"375/377/9896/51573/81544/3631/56623/22876/27124/8776/54893/54545/64419/8898/8897/9110/9107/66036/4952/55300/5297/5298/5286/5287/5289/5290/5291/5295/5296/8503/200576/5305/8396/79837/90809/23396/23760/59338/65977/54477/22874/84725/10908/5728/5783/51552/5867/5868/22908/6305/81846/8867/8871/25816/55697",55
"R-HSA-1169408","R-HSA-1169408","ISG15 antiviral mechanism","49/4633","73/11146",0.671232876712329,1.61484171030339,4.4450100731812,8.68878354592562e-06,0.000151166148143093,9.35261250953623e-05,"8086/25820/8678/5610/1973/1974/1977/9470/317649/1981/1982/8672/3661/3716/3836/3838/3839/3840/3841/3837/5595/55706/4734/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/5335/9883/5495/8480/5903/81929/6772/7175/7706/7314/7316/7324/7334",49
"R-HSA-9824439","R-HSA-9824439","Bacterial Infection Pathways","49/4633","73/11146",0.671232876712329,1.61484171030339,4.4450100731812,8.68878354592562e-06,0.000151166148143093,9.35261250953623e-05,"84168/118429/567/801/805/808/867/79872/999/1499/1500/80824/1938/2023/2060/5045/2885/1839/3320/3326/3836/3837/5604/5606/6416/5609/5594/5595/4233/4843/10015/5230/5868/7879/57674/6421/6455/6456/30011/6616/9899/22987/6857/127833/7296/7314/7316/6843/26276",49
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","20/4633","23/11146",0.869565217391304,2.09198659897334,4.42130937876373,9.10775649735974e-06,0.000156769680986469,9.69930171219385e-05,"983/1843/11221/80824/1844/1846/1847/1848/1849/1850/1852/3569/3570/3572/3716/5604/5594/5595/8682/7297",20
"R-HSA-165159","R-HSA-165159","MTOR signalling","31/4633","41/11146",0.75609756097561,1.81900785983901,4.43099606090284,9.70719805418491e-06,0.000165328910017591,0.000102288591130525,"207/208/51719/29904/1975/1977/1978/1981/2280/55004/8649/389541/10542/2475/5494/5562/5563/5564/5565/51422/6009/6194/6198/10670/58528/153129/6794/92335/55437/7248/7529",31
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","25/4633","31/11146",0.806451612903226,1.94014886195108,4.42082563064794,9.97846247077644e-06,0.000168178669559545,0.00010405173036961,"1386/1385/1845/1846/1848/1849/2353/3725/5594/5602/1432/5595/5598/5599/5601/4205/4208/5515/5516/5518/5519/5528/6196/6197/9252",25
"R-HSA-6791312","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","35/4633","48/11146",0.729166666666667,1.75421792934743,4.41647481446058,1.03342876729229e-05,0.00017238017994628,0.000106651194540962,"1820/6790/7832/10498/890/891/898/9134/983/1017/1026/1027/23019/25904/4848/4850/246175/29883/9337/9125/1869/1874/144455/2033/4869/5111/5325/10769/5933/5934/7027/7029/85456/7157/25946",35
"R-HSA-5607763","R-HSA-5607763","CLEC7A (Dectin-1) induces NFAT activation","13/4633","13/11146",1,2.40578458881934,4.27725356559688,1.09492528521593e-05,0.000179834014847666,0.000111262863912647,"10768/801/805/808/3708/3709/3710/4772/4773/4775/5530/5532/5534",13
"R-HSA-6806834","R-HSA-6806834","Signaling by MET","52/4633","79/11146",0.658227848101266,1.58355441289374,4.38996032932386,1.10034409579227e-05,0.000179834014847666,0.000111262863912647,"382/867/1301/1277/1278/255631/85301/1281/1289/1290/50509/1398/1399/2060/2335/2549/23163/2885/3082/3673/3845/3909/3912/3914/3915/3918/26018/4233/4893/5290/5295/5747/5770/5771/5795/5867/5879/57610/10048/5906/5908/2889/6455/6456/30011/6464/6654/6774/64759/7314/7316/9101",52
"R-HSA-68882","R-HSA-68882","Mitotic Anaphase","130/4633","235/11146",0.553191489361702,1.3308595597724,4.32340567441499,1.21879345258914e-05,0.000197200780628923,0.000122007639306555,"25909/64682/10393/51529/119504/23141/9212/332/699/701/9184/200014/891/991/8697/996/55143/983/1058/1063/91687/55839/79172/401541/55166/80152/79682/27243/51652/91782/9793/23332/23122/6249/1778/1780/1783/140735/2010/54821/9700/9798/3796/11004/57082/3837/3930/23592/4000/4001/22919/55706/54820/81565/25936/83540/9631/23279/23511/129401/348995/9818/23636/4928/5048/23244/23047/5347/9883/5501/5515/5516/5518/5519/5520/5525/5527/5528/5529/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5885/5901/5903/5905/1104/100526767/81929/151648/151246/8243/9126/6683/147841/10735/7341/57551/7112/3842/7846/10383/7314/7316/11065/7321/7324/7329/27338/27183/7444/23063/7514/9183",130
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","48/4633","72/11146",0.666666666666667,1.60385639254623,4.33539132479118,1.42235435351399e-05,0.000227858350889667,0.000140975402833956,"1386/8945/1147/1385/8454/1845/1846/1848/1849/23291/2353/3551/3654/3725/5604/5606/6416/5609/6885/1326/5594/5602/1432/5595/5598/5599/5601/4205/4208/4790/387522/5515/5516/5518/5519/5528/8767/6196/6197/9252/6500/23118/257397/79155/7314/7316/7334/7335",48
"R-HSA-389356","R-HSA-389356","CD28 co-stimulation","26/4633","33/11146",0.787878787878788,1.89546664573645,4.34481585006145,1.43843574994614e-05,0.000228175396413025,0.000141171558121649,"207/208/10000/940/941/998/2534/9402/2885/4067/9020/1326/79109/2475/5058/5062/5063/5170/5290/5295/5296/8503/5879/253260/57761/7525",26
"R-HSA-4615885","R-HSA-4615885","SUMOylation of DNA replication proteins","33/4633","45/11146",0.733333333333333,1.76424203180085,4.33248205275313,1.52013776369757e-05,0.000236984239211976,0.00014662156755617,"8086/6790/9212/332/55143/55706/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/5111/51588/9883/8480/5903/5905/81929/7341/6612/7150/7153/7155/7175/7329",33
"R-HSA-5357801","R-HSA-5357801","Programmed Cell Death","119/4633","213/11146",0.55868544600939,1.34407683600705,4.27618229513383,1.52326087008934e-05,0.000236984239211976,0.00014662156755617,"22985/118/207/208/10000/317/26060/27113/596/598/10018/637/330/90427/708/836/839/841/11140/999/1029/8837/27243/51652/91782/1499/54205/1612/28988/1630/56616/10059/1829/1832/140735/1869/8772/355/356/10211/2319/2339/2934/3006/3148/3320/3659/3660/83737/3836/3837/4000/4001/9500/5594/5595/5599/4137/4836/100506658/8473/5062/10015/57162/5317/5339/5366/5533/5534/5580/5588/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5747/100526767/6093/6304/6386/6774/8428/51765/7027/7029/7082/100302736/8795/8743/7157/7159/7161/7314/7316/7332/219699/7431/331/7529/7531/7532/7533/10971/7534",119
"R-HSA-2555396","R-HSA-2555396","Mitotic Metaphase and Anaphase","130/4633","236/11146",0.550847457627119,1.32522032434964,4.25894422127289,1.61226744297252e-05,0.000248442735498051,0.000153710911104447,"25909/64682/10393/51529/119504/23141/9212/332/699/701/9184/200014/891/991/8697/996/55143/983/1058/1063/91687/55839/79172/401541/55166/80152/79682/27243/51652/91782/9793/23332/23122/6249/1778/1780/1783/140735/2010/54821/9700/9798/3796/11004/57082/3837/3930/23592/4000/4001/22919/55706/54820/81565/25936/83540/9631/23279/23511/129401/348995/9818/23636/4928/5048/23244/23047/5347/9883/5501/5515/5516/5518/5519/5520/5525/5527/5528/5529/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5885/5901/5903/5905/1104/100526767/81929/151648/151246/8243/9126/6683/147841/10735/7341/57551/7112/3842/7846/10383/7314/7316/11065/7321/7324/7329/27338/27183/7444/23063/7514/9183",130
"R-HSA-373755","R-HSA-373755","Semaphorin interactions","44/4633","65/11146",0.676923076923077,1.62853110627771,4.28622163685195,1.79297815343357e-05,0.000273682891722219,0.000169326933854551,"2909/9826/23365/8851/1072/1808/56896/9855/2534/2932/3320/3326/3672/3984/4233/4628/4629/79784/4627/10627/4637/8829/5058/5062/5063/23396/5361/5362/91584/10154/23129/5879/387/388/389/6093/9475/10371/10507/9037/57556/80031/8482/7094",44
"R-HSA-8866652","R-HSA-8866652","Synthesis of active ubiquitin: roles of E1 and E2 enzymes","24/4633","30/11146",0.8,1.92462767105547,4.27694723164307,1.95484781879082e-05,0.000295602221570426,0.00018288836947074,"997/55236/7314/7316/7319/7320/11065/7321/7322/7324/10477/7326/7327/7328/3093/7332/92912/54926/27338/29089/55284/65264/7874/8239",24
"R-HSA-1483257","R-HSA-1483257","Phospholipid metabolism","118/4633","212/11146",0.556603773584906,1.33906878056926,4.20384647815488,2.08087000090508e-05,0.000311745153839299,0.000192875962072196,"51205/55750/10554/10555/56894/55326/375/377/10423/1040/8760/1119/56994/8904/8895/54675/1457/80821/23259/55500/55224/9896/51573/81544/57678/137964/56261/2820/3030/3032/3631/56623/22876/27124/253558/200879/79888/54947/10162/9926/23175/9663/129642/79143/11343/374986/8776/54893/54545/64419/8898/8897/9110/9107/66036/4952/114884/114879/114882/58488/5130/9468/55300/5297/5298/5286/5287/5289/5290/5291/5295/5296/8503/200576/5305/8396/79837/90809/23396/23761/23760/57605/83394/81579/23659/5320/26279/5321/22925/11145/23646/59338/65977/54477/22874/84725/57104/10908/9791/5728/114971/5783/51552/5867/5868/22908/6305/81846/85465/23446/57153/204962/56910/8867/8871/6901/25816/55697",118
"R-HSA-9696273","R-HSA-9696273","RND1 GTPase cycle","31/4633","42/11146",0.738095238095238,1.77569814889047,4.24774386314668,2.23014482016822e-05,0.00033104351550754,0.000204815811103812,"224/22852/2909/394/857/55704/1362/9231/1832/667/1969/57579/2319/10818/57498/9928/23592/5295/5296/8502/5361/5783/9462/27316/22800/11075/7037/9528/81839/57216/11180",31
"R-HSA-111885","R-HSA-111885","Opioid Signalling","58/4633","92/11146",0.630434782608696,1.51669028425567,4.19705950130113,2.48909670903374e-05,0.000366123497746962,0.000226519710075702,"107/108/109/112/113/115/10768/801/805/808/815/817/818/10645/1385/2770/2771/2773/2774/2776/2782/2783/59345/10681/55970/54331/2787/3708/3709/3710/3838/5594/26960/4988/5136/5137/5141/5142/5144/5321/23236/5332/5515/5516/5518/5519/5528/5530/5532/5533/5534/5566/5567/5573/5576/5577/5580/5613",58
"R-HSA-8951664","R-HSA-8951664","Neddylation","134/4633","246/11146",0.544715447154472,1.31046802805606,4.15290345807593,2.51844842326197e-05,0.000367103562958367,0.000227126074018221,"139285/122416/51665/140456/79754/51130/140459/140460/332/672/8945/55832/899/1026/51397/170622/64326/9318/10987/50813/64708/10920/8454/8453/8452/8451/8450/8065/9820/23113/79269/25879/26094/8816/55827/10238/50717/54165/55208/123879/23142/84259/1642/51514/6921/2034/1161/144699/54620/84961/26224/26234/26267/80204/23014/26263/84085/79791/114907/150726/26268/23291/26190/54461/55294/55527/10116/56929/8139/100302652/3091/64344/89890/84078/84541/9817/55175/11275/27252/26249/57542/51088/55958/4008/122769/10489/8883/4780/55666/23363/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/23369/5931/9616/6500/6502/9021/9655/9306/80176/92369/8878/56995/9039/7314/7316/7321/7322/7323/26043/7415/7428/23038/26118/55884/7704",134
"R-HSA-6806003","R-HSA-6806003","Regulation of TP53 Expression and Degradation","28/4633","37/11146",0.756756756756757,1.82059374289031,4.21669537098708,2.57664916935927e-05,0.000371130381179822,0.000229617456575376,"207/208/10000/890/900/983/1017/1029/79109/4193/4194/2475/5170/51230/5515/5516/5518/5519/5527/639/117584/253260/80196/6446/7157/7314/7316/7874",28
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","22/4633","27/11146",0.814814814814815,1.96026892422317,4.21330151054714,2.59194889204696e-05,0.000371130381179822,0.000229617456575376,"890/898/9134/993/990/983/1017/1859/1869/1874/1875/132660/286826/4605/4609/5111/5928/5933/5934/7027/7029/7153",22
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","25/4633","32/11146",0.78125,1.87951921001511,4.20209406421792,2.7552580787698e-05,0.00038805804729575,0.000240090562083312,"25/367/865/1277/2736/2737/9759/3280/23462/23493/3549/4094/5594/5595/5925/10432/100526737/860/23314/4086/4089/25937/10413/7525/25925",25
"R-HSA-109581","R-HSA-109581","Apoptosis","102/4633","180/11146",0.566666666666667,1.36327793366429,4.14411499198024,2.7581381606311e-05,0.00038805804729575,0.000240090562083312,"22985/118/207/208/10000/317/26060/27113/596/598/10018/637/90427/708/836/839/841/999/1029/8837/1499/54205/1612/28988/1630/56616/10059/1829/1832/140735/1869/8772/355/356/2339/2934/3006/3148/3836/3837/4000/4001/9500/5594/5595/5599/4137/4836/100506658/5062/5317/5339/5366/5533/5534/5580/5588/5685/5686/5688/143471/5689/5690/5692/5693/5694/5701/5717/5718/10213/5711/5713/5715/10197/23198/9491/5747/6093/6304/6774/8428/51765/7027/7029/7082/100302736/8795/8743/7157/7159/7161/7314/7316/219699/7431/331/7529/7531/7532/7533/10971/7534",102
"R-HSA-109606","R-HSA-109606","Intrinsic Pathway for Apoptosis","38/4633","55/11146",0.690909090909091,1.66217844318427,4.15194582325388,3.28187034934625e-05,0.000457764329762261,0.000283217668078791,"207/208/10000/317/27113/596/598/10018/637/90427/708/836/841/1029/54205/56616/140735/1869/5594/5595/5599/4836/5366/5533/5534/6774/7027/7029/7157/7159/7161/331/7529/7531/7532/7533/10971/7534",38
"R-HSA-9007101","R-HSA-9007101","Rab regulation of trafficking","74/4633","124/11146",0.596774193548387,1.4357101578438,4.11489702553274,3.3343104319661e-05,0.000461103784523175,0.000285283780548786,"207/208/10000/57679/259173/84079/382/1122/57706/163486/10260/9909/55667/23258/160518/201627/26130/2665/26088/23062/23163/89781/8567/22879/10890/8766/201475/51552/22931/5861/81876/23011/5873/11021/116442/25782/117177/5867/5868/5869/5878/7879/4218/51762/9367/51209/9135/23637/27342/9827/57589/9610/54453/6305/81846/54662/57533/64786/125058/79735/55357/128637/57465/4943/51256/58485/7109/6399/122553/22878/83696/7248/8408/7531",74
"R-HSA-4791275","R-HSA-4791275","Signaling by WNT in cancer","26/4633","34/11146",0.764705882352941,1.8397176267442,4.13577838637378,3.69076714797368e-05,0.000506072986900121,0.000313106115764761,"139285/1452/1487/1488/1499/27123/8322/8323/8325/2932/83999/4040/64840/5515/5516/5518/5519/5525/5527/5528/5529/54894/6934/8658/80351/89780",26
"R-HSA-5218920","R-HSA-5218920","VEGFR2 mediated vascular permeability","23/4633","29/11146",0.793103448275862,1.90803605320155,4.12941884973359,3.80092668580407e-05,0.000516798267027813,0.000319741820274186,"207/208/10000/801/805/808/857/1495/1499/1500/3320/3728/79109/2475/5058/5062/5063/5170/5879/253260/57761/7410/10451",23
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","60/4633","97/11146",0.618556701030928,1.48811417865114,4.07217516468097,4.16565570607697e-05,0.000552461551838733,0.00034180660711641,"351/1386/8945/841/1147/1385/8454/1845/1846/1848/1849/23291/2353/3551/3654/51135/3725/5604/5606/6416/5609/4214/6885/1326/5594/5602/1432/5595/5598/5599/5601/4205/4208/4615/9683/4790/28512/79671/387522/57162/246330/5515/5516/5518/5519/5528/8767/6196/6197/9252/6500/23118/257397/79155/7157/7314/7316/7334/7335/9097",60
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","60/4633","97/11146",0.618556701030928,1.48811417865114,4.07217516468097,4.16565570607697e-05,0.000552461551838733,0.00034180660711641,"351/1386/8945/841/1147/1385/8454/1845/1846/1848/1849/23291/2353/3551/3654/51135/3725/5604/5606/6416/5609/4214/6885/1326/5594/5602/1432/5595/5598/5599/5601/4205/4208/4615/9683/4790/28512/79671/387522/57162/246330/5515/5516/5518/5519/5528/8767/6196/6197/9252/6500/23118/257397/79155/7157/7314/7316/7334/7335/9097",60
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","60/4633","97/11146",0.618556701030928,1.48811417865114,4.07217516468097,4.16565570607697e-05,0.000552461551838733,0.00034180660711641,"351/1386/8945/841/1147/1385/8454/1845/1846/1848/1849/23291/2353/3551/3654/51135/3725/5604/5606/6416/5609/4214/6885/1326/5594/5602/1432/5595/5598/5599/5601/4205/4208/4615/9683/4790/28512/79671/387522/57162/246330/5515/5516/5518/5519/5528/8767/6196/6197/9252/6500/23118/257397/79155/7157/7314/7316/7334/7335/9097",60
"R-HSA-1980143","R-HSA-1980143","Signaling by NOTCH1","48/4633","74/11146",0.648648648648649,1.56050892247741,4.0800548265432,4.23324420800848e-05,0.000556860904760791,0.000344528475979124,"102/51107/83464/408/892/1024/1272/1387/8454/28514/92737/113878/23220/2033/55294/79885/3066/9759/51564/9734/3280/23462/23493/3091/83737/182/3714/8850/9794/55534/10046/57534/4609/26960/9611/9612/54492/4851/8650/5663/3516/6500/6907/79718/7090/7091/7314/7316",48
"R-HSA-9694516","R-HSA-9694516","SARS-CoV-2 Infection","158/4633","299/11146",0.528428093645485,1.27128416399149,4.01038312705431,4.41538763181001e-05,0.000576136870021661,0.000356454468408431,"8086/375790/207/208/10000/63982/121601/203859/196527/57719/22863/567/8678/821/857/27243/51652/91782/1147/7555/1387/1452/1650/1655/5045/2530/10146/9908/2589/23193/8487/50628/25929/54960/2697/51125/2719/2239/10082/2932/3105/3320/3326/3339/3454/3455/3551/3654/3661/3716/3838/23367/84061/4124/6885/57506/4245/4247/11320/11282/4249/55706/114548/8829/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/64398/54956/56965/79668/5170/387522/5289/9883/5589/5777/8480/5903/5925/8767/100526767/6185/6208/6217/6228/6230/6235/6193/6194/3921/51128/6382/6383/6385/10484/10802/10427/9632/9871/81929/80143/6628/6632/6634/6732/6733/6482/6487/6480/10610/256435/6772/6773/3703/7341/23118/257397/29110/7082/7113/7175/7187/7706/7297/7314/7316/7329/7334/7335/7405/7415/7428/65082/26276/27072/7529/7531/7532/7533/10971/7534/85437/253832/51304/25921/29801/51114",158
"R-HSA-177243","R-HSA-177243","Interactions of Rev with host cellular proteins","27/4633","36/11146",0.75,1.8043384416145,4.07674637496438,4.74679409713294e-05,0.000604749043241031,0.000374156749803019,"8086/3837/55706/4869/9972/9631/23279/23511/23225/8021/129401/348995/10762/9818/23636/4927/4928/9883/8480/5901/5902/5903/5905/1104/81929/7175/7514",27
"R-HSA-5673000","R-HSA-5673000","RAF activation","27/4633","36/11146",0.75,1.8043384416145,4.07674637496438,4.74679409713294e-05,0.000604749043241031,0.000374156749803019,"673/801/805/808/815/817/818/3845/8844/5604/4296/4140/22808/4893/5500/5501/5515/5516/5518/5519/5525/5527/5528/5529/5894/8036/7529",27
"R-HSA-6804757","R-HSA-6804757","Regulation of TP53 Degradation","27/4633","36/11146",0.75,1.8043384416145,4.07674637496438,4.74679409713294e-05,0.000604749043241031,0.000374156749803019,"207/208/10000/890/900/983/1017/1029/79109/4193/4194/2475/5170/51230/5515/5516/5518/5519/5527/117584/253260/80196/6446/7157/7314/7316/7874",27
"R-HSA-1489509","R-HSA-1489509","DAG and IP3 signaling","31/4633","43/11146",0.720930232558139,1.73440284310231,4.06938757560532,4.81126289119302e-05,0.000608173699839868,0.000376275576441165,"107/108/109/112/113/115/10768/801/805/808/815/817/818/10645/1385/3708/3709/3710/3838/26960/5136/5137/5335/5566/5567/5573/5576/5577/5580/5581/5613",31
